연,월,일,시간,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),주야구분,요일,위도,경도,사망자수,부상자수,중상자수,경상자수,사고유형대분류,사고유형중분류,사고유형소분류,주소,지역
2012,1,28,13,1.0,22.2,1.7,0.0,18.9,1,7,37.53507329,127.09448621,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2012,2,3,5,-12.9,78.6,1.3,0.0,66.7,2,6,37.54859601,127.110459,1,1,0,0,3,31,32,서울특별시 광진구 광장동,광장동
2012,2,9,15,0.1,322.1,3.0,0.0,45.7,1,5,37.52836496,127.07764445,1,2,1,0,2,23,Z2,서울특별시 광진구 자양동,자양동
2012,2,13,11,4.0,122.8,1.0,0.0,29.5,1,2,37.55960054,127.07365255,1,1,0,0,2,24,25,서울특별시 광진구 중곡동,중곡동
2012,4,18,18,21.0,301.6,1.7,0.0,29.5,2,4,37.54800993,127.07063369,1,1,0,0,1,15,05,서울특별시 광진구 군자동,군자동
2012,5,2,9,22.8,66.8,2.2,0.0,56.1,1,4,37.53728415,127.08663806,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2012,6,14,3,20.3,50.9,2.3,0.0,73.2,2,5,37.56785324,127.07865473,1,3,2,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2012,7,24,20,29.0,309.5,1.8,0.0,77.4,2,3,37.54036902,127.08727757,1,1,0,0,1,15,05,서울특별시 광진구 구의동,구의동
2012,7,30,9,29.1,250.9,2.2,0.0,78.4,1,2,37.557404,127.07667334,1,1,0,0,1,12,02,서울특별시 광진구 군자동,군자동
2012,8,17,21,28.0,157.1,0.6,0.0,84.5,2,6,37.5498829,127.09093159,1,1,0,0,2,24,25,서울특별시 광진구 구의동,구의동
2012,8,25,0,22.5,46.5,2.0,1.0,94.8,2,7,37.53371524,127.07408291,1,1,0,0,2,23,Z2,서울특별시 광진구 자양동,자양동
2012,9,4,21,21.0,114.8,1.1,5.5,97.0,2,3,37.55605357,127.08243589,2,12,1,8,2,24,25,서울특별시 광진구 중곡동,중곡동
2012,9,22,2,17.7,129.0,0.5,0.0,89.0,2,7,37.55394552,127.07768127,1,1,0,0,1,11,01,서울특별시 광진구 군자동,군자동
2012,10,4,8,15.0,73.6,1.7,0.0,76.8,1,5,37.53240153,127.07949487,1,1,0,0,2,24,25,서울특별시 광진구 자양동,자양동
2012,10,17,4,16.9,212.8,1.7,0.0,78.9,2,4,37.55654111,127.07209057,1,1,0,0,1,15,05,서울특별시 성동구 송정동,송정동
2012,11,5,0,11.2,157.3,1.3,2.0,97.3,2,2,37.56079324,127.07446098,1,2,1,0,2,21,21,서울특별시 광진구 중곡동,중곡동
2013,2,9,1,-9.7,96.9,0.9,0.0,56.5,2,7,37.55780867,127.07265961,1,1,0,0,1,15,05,서울특별시 성동구 송정동,송정동
2013,3,10,4,3.0,320.1,4.0,0.0,43.4,2,1,37.53273344,127.05880194,1,1,0,0,3,31,32,서울특별시 광진구 자양동,자양동
2013,4,22,11,12.9,89.4,1.0,0.0,48.3,1,2,37.55927868,127.07437901,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2013,10,13,11,17.8,85.4,1.5,0.0,73.4,1,1,37.5421153,127.0640511,1,3,1,1,2,22,22,서울특별시 광진구 자양동,자양동
2013,11,6,6,8.9,76.0,0.7,0.0,89.8,1,4,37.52855877,127.07714538,1,2,0,1,2,23,Z1,서울특별시 광진구 자양동,자양동
2013,11,7,5,14.8,261.9,3.1,0.0,85.2,2,5,37.55158148,127.06925466,1,1,0,0,2,22,22,서울특별시 성동구 송정동,송정동
2013,11,13,0,4.4,22.8,1.1,0.0,54.0,2,4,37.5457391,127.10948334,1,1,0,0,1,12,02,서울특별시 광진구 광장동,광장동
2013,12,20,20,-0.9,346.3,1.9,0.0,64.4,2,6,37.53006799,127.10753688,1,1,0,0,2,24,25,서울특별시 송파구 신천동,신천동
2013,12,23,13,2.2,294.3,2.2,0.0,58.5,1,2,37.55874069,127.08787823,1,1,0,0,2,24,25,서울특별시 광진구 중곡동,중곡동
2013,12,31,6,1.6,0.0,0.2,0.0,81.9,1,3,37.52993957,127.10795066,1,2,1,0,2,21,21,서울특별시 송파구 신천동,신천동
2014,1,10,6,-6.8,77.5,0.8,0.0,48.6,1,6,37.55637544,127.08169817,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2014,2,25,20,9.2,281.3,1.8,0.0,60.4,2,3,37.56048797,127.08210996,1,1,0,0,3,35,37,서울특별시 광진구 중곡동,중곡동
2014,3,31,17,20.0,286.1,3.9,0.0,26.6,1,2,37.54487985,127.08844132,1,1,0,0,2,22,22,서울특별시 광진구 구의동,구의동
2014,5,12,15,21.1,252.4,5.2,0.0,49.7,1,2,37.53186159,127.08560748,1,1,0,0,1,11,01,서울특별시 광진구 자양동,자양동
2014,6,20,7,22.0,145.1,0.6,0.0,85.9,1,6,37.54995331,127.09070026,1,1,0,0,2,23,Z1,서울특별시 광진구 구의동,구의동
2014,8,19,3,20.4,55.2,1.6,0.0,98.6,2,3,37.55635291,127.08195417,1,1,0,0,1,15,05,서울특별시 광진구 중곡동,중곡동
2014,9,2,23,21.0,107.1,0.9,1.0,93.7,2,3,37.55458837,127.08613492,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2014,9,15,4,22.1,103.9,0.6,0.0,79.9,2,2,37.54098192,127.08367682,1,1,0,0,3,34,31,서울특별시 광진구 구의동,구의동
2014,10,16,19,15.4,308.5,1.2,0.0,28.6,2,5,37.53619322,127.09435224,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2014,10,23,7,8.3,64.4,1.6,0.0,91.3,1,5,37.54071999,127.06307102,1,1,0,0,1,15,05,서울특별시 성동구 성수동2가,성수동2가
2014,11,20,14,12.7,229.7,0.8,0.0,48.9,1,5,37.5540355,127.08526622,1,2,0,1,2,22,22,서울특별시 광진구 능동,능동
2014,11,21,5,6.3,117.9,0.8,0.0,76.2,2,6,37.5660301,127.07747605,1,2,1,0,1,14,04,서울특별시 광진구 중곡동,중곡동
2015,1,29,20,2.0,318.6,0.8,0.0,54.7,2,5,37.54922754,127.10791192,1,2,1,0,2,24,25,서울특별시 광진구 광장동,광장동
2015,2,24,21,4.1,297.5,1.5,0.0,61.6,2,3,37.55313221,127.11118601,1,1,0,0,2,21,21,서울특별시 광진구 광장동,광장동
2015,4,20,15,14.1,72.9,2.5,0.0,65.1,1,2,37.56496546,127.07667924,1,1,0,0,2,22,22,서울특별시 광진구 중곡동,중곡동
2015,5,5,0,14.4,2.1,1.6,0.0,36.7,2,3,37.54749624,127.09699662,1,1,0,0,2,23,Z1,서울특별시 광진구 구의동,구의동
2015,5,7,17,20.0,305.7,3.9,0.0,21.2,1,5,37.56958696,127.08616519,1,1,0,0,1,15,05,서울특별시 광진구 중곡동,중곡동
2015,5,16,2,18.1,9.6,1.2,0.0,43.4,2,7,37.56336137,127.08694694,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2015,6,6,3,17.4,0.0,0.3,0.0,75.6,2,7,37.53563702,127.06716752,1,1,0,0,1,11,01,서울특별시 광진구 자양동,자양동
2015,7,13,22,24.2,200.7,2.7,0.0,85.8,2,2,37.54438656,127.10769955,1,3,0,2,2,23,Z1,서울특별시 광진구 광장동,광장동
2015,7,22,16,32.2,278.6,2.2,0.0,64.4,1,4,37.5582336,127.07702303,1,1,0,0,2,22,22,서울특별시 광진구 중곡동,중곡동
2015,7,25,5,24.0,143.7,1.1,19.0,99.9,2,7,37.56462669,127.08279567,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2015,8,25,5,25.0,66.2,3.9,0.0,64.0,2,3,37.57023131,127.07975222,1,2,0,1,1,15,05,서울특별시 광진구 중곡동,중곡동
2015,9,22,6,18.2,82.7,0.7,0.0,82.7,1,3,37.54289212,127.06449937,1,1,0,0,1,11,01,서울특별시 광진구 화양동,화양동
2015,11,7,5,10.4,69.6,3.1,0.5,88.7,2,7,37.54811492,127.09341595,1,1,0,0,1,15,05,서울특별시 광진구 구의동,구의동
2015,11,14,3,11.9,75.7,1.6,0.5,97.7,2,7,37.55241119,127.06962915,1,1,0,0,2,23,Z2,서울특별시 성동구 송정동,송정동
2015,11,27,2,-4.0,331.0,2.1,0.0,60.1,2,6,37.55603586,127.08252656,2,2,0,0,3,31,32,서울특별시 광진구 중곡동,중곡동
2016,2,10,2,-0.8,0.0,0.1,0.0,64.5,2,4,37.5373069,127.08031059,1,1,0,0,3,31,32,서울특별시 광진구 자양동,자양동
2016,2,10,5,-2.9,115.7,0.7,0.0,70.6,2,4,37.56425284,127.07652475,1,4,3,0,2,22,22,서울특별시 광진구 중곡동,중곡동
2016,5,27,22,22.3,309.9,1.6,0.0,57.2,2,6,37.56202936,127.08289961,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2016,6,24,4,22.0,0.0,0.4,0.5,96.1,2,6,37.57162918,127.07997085,1,1,0,0,3,34,31,서울특별시 광진구 중곡동,중곡동
2016,9,3,1,20.4,88.9,1.8,0.5,91.9,2,7,37.53110919,127.08644578,1,1,0,0,1,11,01,서울특별시 광진구 자양동,자양동
2016,10,5,9,19.3,73.7,2.0,0.0,73.6,1,4,37.53618281,127.07349161,1,1,0,0,1,11,01,서울특별시 광진구 자양동,자양동
2016,10,18,12,19.2,164.4,1.0,0.0,70.5,1,3,37.53714693,127.08606155,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2016,12,16,23,-1.2,94.6,1.2,0.0,53.6,2,6,37.5673871,127.07836408,1,1,0,0,3,34,31,서울특별시 광진구 중곡동,중곡동
2016,12,30,5,-6.4,73.0,0.9,0.0,57.7,2,6,37.54016542,127.08320368,1,1,0,0,2,21,21,서울특별시 광진구 자양동,자양동
2017,1,2,17,7.8,296.7,2.9,0.0,68.0,1,2,37.55460089,127.09494311,1,1,0,0,3,31,32,서울특별시 광진구 구의동,구의동
2017,1,5,10,3.9,49.6,2.1,0.0,52.8,1,5,37.54170482,127.06517414,1,1,0,0,3,34,31,서울특별시 광진구 자양동,자양동
2017,1,20,11,-2.6,322.0,3.8,0.0,70.8,1,6,37.55125436,127.07125472,1,2,1,0,2,22,22,서울특별시 광진구 군자동,군자동
2017,2,12,2,-3.2,263.9,1.4,0.0,52.1,2,1,37.56221774,127.08725897,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2017,3,23,8,7.4,187.8,0.6,0.0,49.8,1,5,37.55601992,127.08825552,1,2,0,1,2,22,22,서울특별시 광진구 중곡동,중곡동
2017,4,6,3,12.3,277.5,2.4,0.5,97.9,2,5,37.56995262,127.07995762,2,2,0,0,2,22,22,서울특별시 광진구 중곡동,중곡동
2017,4,13,13,16.8,299.8,2.1,0.0,26.5,1,5,37.53568758,127.08373795,1,1,0,0,1,12,02,서울특별시 광진구 자양동,자양동
2017,5,23,9,20.4,130.7,0.7,0.0,66.5,1,3,37.54472469,127.0904798,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2017,5,28,18,25.9,227.5,2.3,0.0,55.7,2,1,37.55926633,127.07470517,1,1,0,0,2,24,25,서울특별시 광진구 중곡동,중곡동
2017,6,21,1,25.2,234.9,0.9,0.0,52.6,2,4,37.54507777,127.07310134,1,1,0,0,1,11,01,서울특별시 광진구 화양동,화양동
2017,6,29,0,25.8,254.2,1.4,0.0,64.3,2,5,37.5459107,127.10256345,1,1,0,0,3,35,37,서울특별시 광진구 광장동,광장동
2017,8,28,2,20.6,127.4,0.7,0.0,84.8,2,2,37.56091775,127.07399604,1,1,0,0,2,22,22,서울특별시 광진구 중곡동,중곡동
2017,10,15,6,10.4,31.1,0.8,0.0,56.4,1,1,37.54377699,127.10871023,1,1,0,0,2,24,25,서울특별시 광진구 광장동,광장동
2017,10,30,1,7.2,329.2,2.0,0.0,28.5,2,2,37.55642521,127.08816271,1,1,0,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2017,12,22,11,2.6,106.8,1.7,0.0,69.2,1,6,37.54275876,127.09019624,1,1,0,0,2,24,25,서울특별시 광진구 구의동,구의동
2018,1,29,7,-9.1,306.7,1.7,0.0,37.1,1,2,37.53949856,127.08324135,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2018,3,3,8,1.1,69.7,1.3,0.0,51.8,1,7,37.5460789,127.10893479,1,1,0,0,3,31,32,서울특별시 광진구 광장동,광장동
2018,7,11,1,23.8,119.9,0.7,0.5,97.9,2,4,37.53231667,127.06380254,1,1,0,0,1,12,02,서울특별시 광진구 자양동,자양동
2018,7,12,17,29.0,272.6,2.7,0.0,76.1,1,5,37.55196846,127.09218364,2,8,1,3,1,13,03,서울특별시 광진구 구의동,구의동
2018,8,8,4,27.9,137.5,0.6,0.0,90.0,2,4,37.54626953,127.06622306,1,1,0,0,1,15,05,서울특별시 성동구 성수동2가,성수동2가
2018,11,14,12,12.6,194.7,0.7,0.0,60.6,1,4,37.52101353,127.09410626,1,1,0,0,2,22,22,서울특별시 송파구 잠실동,잠실동
2018,12,1,17,8.7,0.0,0.4,0.0,36.4,1,7,37.54587389,127.08607556,1,1,0,0,2,22,22,서울특별시 광진구 구의동,구의동
2018,12,8,7,-9.5,30.3,2.3,0.0,35.2,1,7,37.53526833,127.06008413,1,2,1,0,2,21,21,서울특별시 성동구 성수동2가,성수동2가
2019,3,4,23,8.5,202.8,0.9,0.0,64.2,2,2,37.54206022,127.06377974,1,1,0,0,1,11,01,서울특별시 성동구 성수동2가,성수동2가
2019,5,3,2,12.7,132.5,0.7,0.0,52.1,2,6,37.53840544,127.06998132,1,1,0,0,1,15,05,서울특별시 광진구 자양동,자양동
2019,7,5,21,29.6,231.4,1.8,0.0,42.2,2,6,37.55616938,127.0820503,1,1,0,0,1,15,05,서울특별시 광진구 중곡동,중곡동
2020,4,7,5,7.1,186.1,0.9,0.0,74.6,2,3,37.5452874,127.08334157,1,1,0,0,1,11,01,서울특별시 광진구 능동,능동
2020,6,19,6,22.0,24.1,1.7,0.0,62.2,1,6,37.54510935,127.08243807,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2020,8,10,21,25.1,130.7,0.7,0.0,95.1,2,2,37.53805259,127.07710309,1,3,2,0,2,21,21,서울특별시 광진구 자양동,자양동
2020,11,6,5,9.8,83.7,1.0,0.0,61.0,2,6,37.56079778,127.07849066,1,1,0,0,1,15,05,서울특별시 광진구 중곡동,중곡동
